Region/Country/Area Code,Region/Country/Area,Year,Series,Value
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),29.9
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.41
202,Sub-Saharan Africa,2018,Land area (thousand hectares),"2,203,004"
202,Sub-Saharan Africa,2018,Arable land (thousand hectares),"198,675"
202,Sub-Saharan Africa,2018,Permanent crops (thousand hectares),"29,045"
202,Sub-Saharan Africa,2018,Forest cover (thousand hectares),"616,637"
202,Sub-Saharan Africa,2018,Arable land (% of total land area),9
202,Sub-Saharan Africa,2018,Permanent crops (% of total land area),1.3
202,Sub-Saharan Africa,2018,Forest cover (% of total land area),28
202,Sub-Saharan Africa,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),41.12
202,Sub-Saharan Africa,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),42.73
14,Eastern Africa,2005,Land area (thousand hectares),"618,560"
14,Eastern Africa,2005,Arable land (thousand hectares),"55,770"
14,Eastern Africa,2005,Permanent crops (thousand hectares),"6,913"
14,Eastern Africa,2005,Forest cover (thousand hectares),"206,408"
14,Eastern Africa,2005,Arable land (% of total land area),9
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1
14,Eastern Africa,2005,Forest cover (% of total land area),33.4
14,Eastern Africa,2010,Land area (thousand hectares),"618,625"
14,Eastern Africa,2010,Arable land (thousand hectares),"62,228"
14,Eastern Africa,2010,Permanent crops (thousand hectares),"7,604"
14,Eastern Africa,2010,Forest cover (thousand hectares),"201,429"
14,Eastern Africa,2010,Arable land (% of total land area),10.1
14,Eastern Africa,2010,Permanent crops (% of total land area),1.2
14,Eastern Africa,2010,Forest cover (% of total land area),32.6
14,Eastern Africa,2018,Land area (thousand hectares),"681,849"
14,Eastern Africa,2018,Arable land (thousand hectares),"66,773"
14,Eastern Africa,2018,Permanent crops (thousand hectares),"8,520"
14,Eastern Africa,2018,Forest cover (thousand hectares),"199,791"
14,Eastern Africa,2018,Arable land (% of total land area),9.8
14,Eastern Africa,2018,Permanent crops (% of total land area),1.2
14,Eastern Africa,2018,Forest cover (% of total land area),29.3
17,Middle Africa,2005,Land area (thousand hectares),"649,682"
17,Middle Africa,2005,Arable land (thousand hectares),"22,745"
17,Middle Africa,2005,Permanent crops (thousand hectares),"2,762"
17,Middle Africa,2005,Forest cover (thousand hectares),"313,853"
17,Middle Africa,2005,Arable land (% of total land area),3.5
17,Middle Africa,2005,Permanent crops (% of total land area),0.4
17,Middle Africa,2005,Forest cover (% of total land area),48.3
17,Middle Africa,2010,Land area (thousand hectares),"649,682"
17,Middle Africa,2010,Arable land (thousand hectares),"24,061"
17,Middle Africa,2010,Permanent crops (thousand hectares),"3,250"
17,Middle Africa,2010,Forest cover (thousand hectares),"306,675"
17,Middle Africa,2010,Arable land (% of total land area),3.7
17,Middle Africa,2010,Permanent crops (% of total land area),0.5
17,Middle Africa,2010,Forest cover (% of total land area),47.2
17,Middle Africa,2018,Land area (thousand hectares),"649,682"
17,Middle Africa,2018,Arable land (thousand hectares),"30,899"
17,Middle Africa,2018,Permanent crops (thousand hectares),"3,830"
17,Middle Africa,2018,Forest cover (thousand hectares),"291,475"
17,Middle Africa,2018,Arable land (% of total land area),4.8
17,Middle Africa,2018,Permanent crops (% of total land area),0.6
17,Middle Africa,2018,Forest cover (% of total land area),44.9
18,Southern Africa,2005,Land area (thousand hectares),"265,067"
18,Southern Africa,2005,Arable land (thousand hectares),"14,730"
18,Southern Africa,2005,Permanent crops (thousand hectares),406
18,Southern Africa,2005,Forest cover (thousand hectares),"42,843"
18,Southern Africa,2005,Arable land (% of total land area),5.6
18,Southern Africa,2005,Permanent crops (% of total land area),0.2
18,Southern Africa,2005,Forest cover (% of total land area),16.2
18,Southern Africa,2010,Land area (thousand hectares),"265,067"
18,Southern Africa,2010,Arable land (thousand hectares),"14,089"
18,Southern Africa,2010,Permanent crops (thousand hectares),460
18,Southern Africa,2010,Forest cover (thousand hectares),"41,721"
18,Southern Africa,2010,Arable land (% of total land area),5.3
18,Southern Africa,2010,Permanent crops (% of total land area),0.2
18,Southern Africa,2010,Forest cover (% of total land area),15.7
18,Southern Africa,2018,Land area (thousand hectares),"265,067"
18,Southern Africa,2018,Arable land (thousand hectares),"13,664"
18,Southern Africa,2018,Permanent crops (thousand hectares),444
18,Southern Africa,2018,Forest cover (thousand hectares),"39,925"
18,Southern Africa,2018,Arable land (% of total land area),5.2
18,Southern Africa,2018,Permanent crops (% of total land area),0.2
18,Southern Africa,2018,Forest cover (% of total land area),15.1
11,Western Africa,2005,Land area (thousand hectares),"606,406"
11,Western Africa,2005,Arable land (thousand hectares),"80,976"
11,Western Africa,2005,Permanent crops (thousand hectares),"15,463"
11,Western Africa,2005,Forest cover (thousand hectares),"92,854"
11,Western Africa,2005,Arable land (% of total land area),13.4
11,Western Africa,2005,Permanent crops (% of total land area),2.5
11,Western Africa,2005,Forest cover (% of total land area),15.3
